11B170631: Solveira;41;143;213;- -;63;704;198;- -;
11B170632: Tourém;395;25;201;135;26;244;35;8;
11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;502;83;450;308;47;849;319;- -;
11B170637: União das freguesias de Meixedo e Padornelos;508;121;527;248;102;885;280;- -;
11B170638: União das freguesias de Montalegre e Padroso;401;605;1034;26;114;1141;504;155;
11B170639: União das freguesias de Paradela, Contim e Fiães;558;166;315;348;41;1085;311;50;
11B170640: União das freguesias de Sezelhe e Covelães;625;54;128;111;14;754;557;3;
11B170641: União das freguesias de Venda Nova e Pondras;255;38;285;81;6;343;218;68;
11B170642: União das freguesias de Viade de Baixo e Fervidelas;1263;172;1141;1151;131;1617;760;99;
11B170643: União das freguesias de Vilar de Perdizes e Meixide;291;70;1082;495;136;876;1231;67;
11B170635: Vila da Ponte;394;62;68;257;2;413;85;142;
11B1709: Ribeira de Pena;3259;865;940;6415;51;11172;3072;599;
11B170901: Alvadia;430;106;55;3271;5;465;172;39;
11B170902: Canedo;316;87;132;167;19;1020;244;337;
11B170906: Santa Marinha;112;49;85;128;9;1119;240;110;
11B170908: União das freguesias de Cerva e Limões;1419;341;191;2015;13;4282;1124;89;
11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;982;282;477;834;5;4286;1292;24;
11B1712: Valpaços;2716;4385;13306;3749;2984;33488;15113;2287;
11B171201: Água Revés e Crasto;25;186;260;172;96;1201;523;11;
11B171203: Algeriz;20;270;652;240;131;1681;860;130;
11B171205: Bouçoães;40;192;1243;166;171;1484;522;13;
11B171206: Canaveses;70;187;501;107;120;951;325;50;
11B171232: Carrazedo de Montenegro e Curros;244;492;1092;1208;203;3050;1638;451;
11B171209: Ervões;239;226;496;138;211;1521;1576;15;
11B171211: Fornos do Pinhal;11;10;31;9;68;726;209;10;
11B171212: Friões;311;234;682;92;202;1143;884;130;
11B171233: Lebução, Fiães e Nozelos;214;168;840;43;160;1416;686;- -;
11B171215: Padrela e Tazem;355;201;537;30;58;1067;432;49;
11B171216: Possacos;32;58;- -;17;71;732;215;55;
11B171217: Rio Torto;37;47;111;14;93;1159;206;- -;
11B171219: Santa Maria de Emeres;7;136;676;76;92;862;286;89;
11B171220: Santa Valha;37;45;401;5;99;1102;428;209;
11B171221: Santiago da Ribeira de Alhariz;137;402;835;168;161;1985;875;34;
11B171222: São João da Corveira;169;235;687;19;44;1500;850;29;
11B171223: São Pedro de Veiga de Lila;42;100;532;228;151;700;212;69;
11B171224: Serapicos;157;114;485;13;35;858;509;- -;
11B171234: Sonim e Barreiros;78;150;333;148;104;1552;598;160;
11B171235: Tinhela e Alvarelhos;228;126;1377;119;139;1209;491;253;
11B171227: Vales;92;178;252;570;107;825;175;135;
11B171236: Valpaços e Sanfins;76;279;524;64;189;3040;712;241;
11B171229: Vassal;6;149;190;19;66;772;396;80;
11B171230: Veiga de Lila;32;87;336;13;75;1181;309;7;
11B171231: Vilarandelo;57;113;233;71;138;1771;1196;67;
11B1713: Vila Pouca de Aguiar;6337;1575;6677;3876;922;19671;16729;1402;
11B171302: Alfarela de Jales;306;21;285;28;25;388;182;55;
11B171319: Alvão;838;16;1027;1343;52;1526;559;120;
11B171303: Bornes de Aguiar;841;87;594;25;78;2476;890;137;
11B171304: Bragado;100;9;88;148;60;1323;526;109;
11B171305: Capeludos;120;34;124;33;67;1649;414;37;
11B171317: Sabroso de Aguiar;17;10;7;15;33;762;232;80;
11B171310: Soutelo de Aguiar;1468;99;1429;12;91;2227;1558;61;
11B171311: Telões;849;53;982;562;148;1877;938;189;
11B171312: Tresminas;379;239;299;689;107;1851;643;384;
11B171320: União das freguesias de Pensalvos e Parada de Monteiros;314;713;131;501;52;623;166;- -;
11B171313: Valoura;131;11;167;1;48;987;232;2;
11B171314: Vila Pouca de Aguiar;429;75;181;41;65;1494;5225;181;
11B171315: Vreia de Bornes;162;100;340;108;51;1477;353;- -;
11B171316: Vreia de Jales;383;108;1023;370;45;1011;4811;47;
11C: Tâmega e Sousa;32232;37972;36173;10957;1091;444156;53822;4671;
11C1301: Amarante;3569;12383;4421;1982;180;32521;7818;800;
11C130103: Ansiães;65;71;91;144;2;462;200;90;
11C130107: Candemil;109;40;161;316;4;411;205;14;
11C130112: Fregim;152;68;127;40;14;1494;255;14;
11C130115: Fridão;8;30;98;16;5;505;199;- -;
11C130117: Gondar;64;27;167;7;1;941;216;7;
11C130134: Gouveia (São Simão);165;47;366;28;2;683;265;7;
11C130118: Jazente;41;12;52;19;1;411;83;2;
11C130119: Lomba;19;34;83;11;- -;648;175;- -;
11C130120: Louredo;23;25;94;19;6;794;45;4;
11C130121: Lufrei;42;19;234;40;4;941;187;- -;
11C130123: Mancelos;299;138;145;30;10;2034;658;21;
11C130126: Padronelo;22;5;50;5;- -;278;116;- -;
11C130128: Rebordelo;49;35;12;56;- -;300;81;29;
11C130129: Salvador do Monte;61;59;230;50;3;1156;228;16;
11C130135: Telões;475;186;237;82;4;3926;614;69;
11C130136: Travanca;187;116;66;65;7;1831;190;7;
11C130141: União das freguesias de Aboadela, Sanche e Várzea;339;10747;246;472;3;1943;151;22;
11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;193;52;71;56;50;2373;1850;6;
11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;228;87;640;153;6;996;280;1;
11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);268;163;31;16;5;2685;319;11;
11C130145: União das freguesias de Freixo de Cima e de Baixo;185;77;188;47;2;1784;372;23;
11C130146: União das freguesias de Olo e Canadelo;53;27;194;72;4;666;47;62;
11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;254;109;292;84;6;2510;446;21;
11C130138: Vila Caiz;46;88;185;14;8;781;182;17;
11C130139: Vila Chã do Marão;41;26;256;136;20;711;133;47;
11C130147: Vila Meã;181;95;105;4;13;1257;321;310;
11C1302: Baião;1358;1460;5409;1166;92;20778;4926;331;
11C130204: Frende;2;9;45;1;2;209;57;- -;
11C130205: Gestaçô;27;122;257;30;6;1155;358;- -;
11C130206: Gove;107;120;589;18;15;2711;148;32;
11C130207: Grilo;78;49;187;23;2;583;199;- -;
11C130208: Loivos do Monte;237;72;206;24;5;600;95;5;
11C130215: Santa Marinha do Zêzere;62;89;362;32;3;2373;630;29;
11C130221: União das freguesias de Ancede e Ribadouro;26;84;519;21;7;1905;307;4;
11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;64;69;411;50;1;1222;274;19;
11C130223: União das freguesias de Campelo e Ovil;405;295;1340;105;22;2986;1145;70;
11C130224: União das freguesias de Loivos da Ribeira e Tresouras;5;102;60;2;10;936;189;- -;
11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;30;169;452;20;4;2717;237;18;
11C130226: União das freguesias de Teixeira e Teixeiró;214;202;439;615;5;1402;933;149;
11C130219: Valadares;46;42;378;205;8;1239;138;- -;
11C130220: Viariz;55;36;164;20;2;740;216;5;
11C0106: Castelo de Paiva;1028;1015;3092;404;45;12388;2166;379;
11C010602: Fornos;94;64;126;15;- -;626;102;1;
11C010606: Real;266;210;716;71;12;1840;370;98;
11C010607: Santa Maria de Sardoura;107;181;441;60;16;2693;368;7;
11C010608: São Martinho de Sardoura;60;45;166;11;3;836;174;20;
11C010610: União das freguesias de Raiva, Pedorido e Paraíso;298;334;1280;172;13;4382;784;220;
11C010611: União das freguesias de Sobrado e Bairros;203;181;363;75;1;2011;368;33;
11C0305: Celorico de Basto;4495;6956;2127;1667;71;45620;5584;433;
11C030501: Agilde;354;67;49;22;4;1292;408;35;
11C030502: Arnóia;318;120;185;221;7;2524;775;44;
11C030520: Basto (São Clemente);261;5360;12;231;2;1058;242;- -;
11C030503: Borba de Montanha;827;152;147;53;10;1753;454;39;
11C030508: Codeçoso;16;11;87;48;2;20429;91;86;
11C030510: Fervença;212;83;280;79;4;1700;302;27;
11C030515: Moreira do Castelo;93;6;11;91;- -;1053;117;- -;
11C030517: Rego;536;44;260;38;11;1637;564;38;
11C030518: Ribas;268;190;43;17;2;1418;349;56;
11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;463;198;69;116;1;3717;655;44;
11C030524: União das freguesias de Caçarilhe e Infesta;223;69;585;73;5;1001;400;25;
11C030525: União das freguesias de Canedo de Basto e Corgo;131;103;1;174;5;1644;191;19;
11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);236;110;54;61;8;1538;267;13;
11C030527: União das freguesias de Veade, Gagos e Molares;382;288;217;194;6;3066;500;6;
11C030521: Vale de Bouro;175;155;127;249;4;1790;269;1;
11C1804: Cinfães;3580;1332;6211;2936;45;16772;4104;406;
11C180403: Cinfães;342;111;874;185;4;1823;353;68;
11C180404: Espadanedo;35;28;138;3;1;608;112;- -;
11C180405: Ferreiros de Tendais;280;53;274;66;2;473;75;- -;
11C180406: Fornelos;217;90;449;20;7;1123;368;17;
11C180408: Moimenta;69;25;108;10;3;417;87;- -;
11C180409: Nespereira;669;272;737;929;14;1981;512;38;
11C180410: Oliveira do Douro;55;97;256;38;- -;1180;107;2;
11C180412: Santiago de Piães;383;126;426;29;3;1616;435;13;
11C180413: São Cristóvão de Nogueira;294;116;583;77;5;1648;471;85;
11C180414: Souselo;112;114;206;12;- -;1519;211;40;
11C180415: Tarouquela;73;75;221;17;1;1211;240;5;
11C180416: Tendais;550;103;1116;800;2;1096;530;82;
11C180417: Travanca;106;72;312;47;- -;1551;349;45;
11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;395;50;511;703;3;526;254;11;
11C1303: Felgueiras;3940;6971;305;588;168;91018;5086;289;
11C130301: Aião;78;423;3;21;10;575;36;- -;
11C130302: Airães;202;80;18;- -;7;979;161;83;
11C130305: Friande;238;23;- -;25;2;961;239;37;
11C130306: Idães;190;5349;37;35;12;1201;123;22;
11C130307: Jugueiros;123;37;- -;9;2;585;121;14;
11C130313: Penacova;104;64;- -;7;2;684;234;- -;
11C130314: Pinheiro;139;10;- -;6;1;367;70;- -;
11C130315: Pombeiro de Ribavizela;114;127;- -;10;7;670;112;6;
11C130317: Refontoura;137;56;16;109;12;1221;400;4;
11C130318: Regilde;71;38;- -;7;3;477;118;36;
11C130319: Revinhade;33;9;- -;2;- -;192;44;- -;
11C130324: Sendim;67;15;11;33;5;806;164;- -;
11C130334: União das freguesias de Macieira da Lixa e Caramos;293;191;8;16;3;62913;524;13;
11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;874;254;24;147;31;3969;969;20;
11C130336: União das freguesias de Pedreira, Rande e Sernande;284;36;10;26;41;1370;215;12;
11C130337: União das freguesias de Torrados e Sousa;126;35;4;14;5;1197;212;5;
11C130338: União das freguesias de Unhão e Lordelo;324;58;- -;20;2;7877;202;5;
11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;451;98;164;91;21;3697;888;18;
11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);32;20;- -;8;- -;506;102;3;
11C130341: União das freguesias de Vila Verde e Santão;60;48;10;2;2;771;152;11;
11C1305: Lousada;4435;1586;872;202;149;142786;3312;195;
11C130502: Aveleda;154;97;24;- -;9;568;112;3;
11C130504: Caíde de Rei;513;80;77;68;7;120375;463;11;
11C130510: Lodares;493;83;38;13;1;1056;227;3;
11C130512: Macieira;126;19;16;10;2;375;65;14;
11C130513: Meinedo;213;141;152;11;44;2149;565;- -;
11C130515: Nevogilde;265;110;9;13;5;538;117;- -;
11C130524: Sousela;98;26;51;5;1;630;47;5;
11C130525: Torno;209;184;27;2;6;1237;103;- -;
11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);357;35;23;14;3;1151;106;2;
11C130528: União das freguesias de Cristelos, Boim e Ordem;396;174;103;4;19;2181;304;1;
11C130529: União das freguesias de Figueiras e Covas;240;191;92;5;4;946;204;2;
11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);357;55;181;31;11;2007;156;78;
11C130531: União das freguesias de Nespereira e Casais;302;149;- -;2;8;1223;250;- -;
11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;663;228;74;22;28;7916;531;69;
11C130526: Vilar do Torno e Alentém;49;14;5;2;1;434;62;7;
11C1307: Marco de Canaveses;2218;1729;6972;882;88;26125;4297;406;
11C130732: Alpendorada, Várzea e Torrão;118;131;554;90;8;1843;347;60;
11C130733: Avessadas e Rosém;232;182;260;45;5;1639;215;29;
11C130704: Banho e Carvalhosa;78;23;271;- -;6;608;87;- -;
11C130734: Bem Viver;91;61;267;11;4;1455;210;31;
11C130705: Constance;65;44;138;1;4;790;80;- -;
11C130736: Marco;145;261;439;18;11;2679;175;26;
11C130737: Paredes de Viadores e Manhuncelos;54;141;557;40;2;1500;183;24;
11C130738: Penha Longa e Paços de Gaiolo;99;263;984;49;4;2389;494;35;
11C130739: Sande e São Lourenço do Douro;52;60;534;32;3;1549;387;56;
11C130735: Santo Isidoro e Livração;29;47;66;- -;3;621;64;13;
11C130722: Soalhães;236;99;803;95;15;2232;664;8;
11C130723: Sobretâmega;51;16;95;145;- -;362;66;- -;
11C130724: Tabuado;93;101;244;24;7;1478;159;33;
11C130740: Várzea, Aliviada e Folhada;351;159;971;212;10;2475;235;40;
11C130741: Vila Boa de Quires e Maureles;438;79;580;88;1;2901;569;51;
11C130730: Vila Boa do Bispo;86;62;209;32;5;1604;362;- -;
11C1309: Paços de Ferreira;2365;637;1677;198;16;19187;3012;302;
11C130902: Carvalhosa;225;47;92;3;2;1184;288;1;
11C130904: Eiriz;316;104;46;1;- -;1300;120;- -;
11C130905: Ferreira;266;38;238;6;- -;1361;288;15;
11C130906: Figueiró;134;21;104;- -;3;827;229;- -;
11C130917: Frazão Arreigada;165;51;135;5;1;1173;378;110;
11C130908: Freamunde;128;38;158;99;- -;974;281;21;
11C130910: Meixomil;108;37;98;50;3;986;239;121;
11C130918: Paços de Ferreira;263;85;88;- -;2;768;101;8;
11C130913: Penamaior;174;112;136;1;1;7588;311;- -;
11C130914: Raimonda;144;19;70;- -;2;662;56;16;
11C130919: Sanfins Lamoso Codessos;336;55;291;24;1;1600;440;10;
11C130916: Seroa;106;30;221;9;1;764;281;- -;
11C1311: Penafiel;4099;2782;2757;522;156;27277;7544;1042;
11C131101: Abragão;228;175;160;35;- -;1592;457;90;
11C131102: Boelhe;370;58;38;10;1;559;268;14;
11C131103: Bustelo;112;198;127;4;21;2076;317;5;
11C131104: Cabeça Santa;69;54;64;3;- -;982;91;62;
11C131105: Canelas;80;65;164;43;- -;622;135;26;
11C131106: Capela;134;120;47;10;- -;564;49;1;
11C131107: Castelões;57;25;56;13;6;646;98;1;
11C131108: Croca;118;137;166;3;4;1517;483;- -;
11C131109: Duas Igrejas;274;109;55;2;3;1147;404;- -;
11C131110: Eja;14;33;84;- -;- -;314;186;24;
11C131112: Fonte Arcada;55;77;48;18;3;582;78;- -;
11C131113: Galegos;94;81;44;5;5;544;246;22;
11C131141: Guilhufe e Urrô;153;109;150;14;1;873;189;- -;
11C131115: Irivo;145;69;30;- -;2;834;81;- -;
11C131142: Lagares e Figueira;312;239;117;98;15;1863;1134;106;
11C131140: Luzim e Vila Cova;259;30;158;38;1;1182;331;49;
11C131121: Oldrões;86;74;145;41;- -;450;135;16;
11C131122: Paço de Sousa;299;100;201;13;26;842;112;- -;
11C131139: Penafiel;570;397;302;57;45;4461;1354;33;
11C131125: Perozelo;45;56;54;- -;- -;436;137;3;
11C131128: Rans;153;131;19;2;- -;628;134;30;
11C131132: Recezinhos (São Mamede);29;18;30;1;2;648;154;4;
11C131133: Recezinhos (São Martinho);67;128;160;43;12;1754;587;82;
11C131129: Rio de Moinhos;138;48;171;29;- -;406;127;46;
11C131138: Rio Mau;11;8;31;8;- -;374;2;423;
11C131134: Sebolido;- -;- -;- -;2;- -;46;11;- -;
11C131143: Termas de São Vicente;151;128;113;16;5;955;182;5;
11C131136: Valpedre;76;115;23;14;4;380;62;- -;
11C1813: Resende;1145;1121;2330;410;81;9684;5973;88;
11C181302: Barrô;- -;24;22;- -;2;252;46;- -;
11C181303: Cárquere;70;73;202;9;- -;755;221;- -;
11C181310: Paus;81;63;251;290;31;580;3483;21;
11C181311: Resende;180;390;357;17;12;2686;637;13;
11C181312: São Cipriano;91;56;291;- -;- -;356;39;- -;
11C181313: São João de Fontoura;7;81;48;2;13;1161;337;54;
11C181314: São Martinho de Mouros;21;99;378;70;15;1134;604;- -;
11C181316: União das freguesias de Anreade e São Romão de Aregos;49;79;200;2;5;1435;255;- -;
11C181317: União das freguesias de Felgueiras e Feirão;219;81;237;9;2;193;33;- -;
11C181318: União das freguesias de Freigil e Miomães;48;88;170;- -;1;805;279;- -;
11C181319: União das freguesias de Ovadas e Panchorra;379;87;174;11;- -;327;39;- -;
11D: Douro;13758;20582;70085;22422;8439;326753;69299;15820;
11D1701: Alijó;433;557;1921;1764;897;107649;2753;750;
11D170101: Alijó;3;24;10;95;60;530;203;35;
11D170107: Favaios;17;31;18;- -;27;490;54;151;
11D170108: Pegarinhos;22;23;363;156;48;150;149;136;
11D170109: Pinhão;- -;- -;- -;- -;1;4;- -;- -;
11D170112: Sanfins do Douro;5;10;36;127;87;216;174;17;
11D170113: Santa Eugénia;- -;26;40;53;60;251;201;55;
11D170114: São Mamede de Ribatua;3;3;140;- -;87;429;127;64;
11D170120: União das freguesias de Carlão e Amieiro;- -;23;285;319;175;598;520;138;
11D170121: União das freguesias de Castedo e Cotas;6;32;4;1;46;232;110;28;
11D170122: União das freguesias de Pópulo e Ribalonga;87;123;58;249;96;340;231;20;
11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;- -;2;- -;- -;6;130;91;21;
11D170116: Vila Chã;43;131;161;284;81;103140;322;- -;
11D170117: Vila Verde;233;75;590;384;28;747;425;57;
11D170118: Vilar de Maçada;14;54;216;96;95;392;146;28;
11D1801: Armamar;30;237;417;345;194;4063;1548;143;
11D180101: Aldeias;- -;3;- -;- -;15;337;162;- -;
11D180120: Armamar;1;4;55;108;3;113;- -;- -;
11D180104: Cimbres;10;16;- -;10;6;292;100;- -;
11D180106: Folgosa;- -;5;- -;- -;4;227;- -;- -;
11D180107: Fontelo;3;37;257;7;10;570;95;35;
11D180109: Queimada;- -;20;4;- -;11;119;77;- -;
11D180110: Queimadela;- -;7;- -;- -;17;239;226;- -;
11D180111: Santa Cruz;5;16;- -;199;3;153;42;- -;
11D180114: São Cosmado;11;38;32;18;30;742;291;4;
11D180115: São Martinho das Chãs;- -;18;55;- -;31;184;22;- -;
11D180121: União das freguesias de Aricera e Goujoim;- -;12;2;3;30;278;333;2;
11D180122: União das freguesias de São Romão e Santiago;- -;43;7;- -;6;294;82;- -;
11D180123: União das freguesias de Vila Seca e Santo Adrião;- -;18;5;- -;24;405;64;43;
11D180118: Vacalar;- -;- -;- -;- -;4;110;54;59;
11D0403: Carrazeda de Ansiães;301;648;5221;1033;897;5950;2230;675;
11D040304: Carrazeda de Ansiães;51;15;1011;- -;28;199;125;- -;
11D040306: Fonte Longa;38;20;1182;202;56;177;125;13;
11D040308: Linhares;5;24;42;128;116;1113;324;62;
11D040309: Marzagão;40;49;59;76;60;422;153;30;
11D040311: Parambos;23;24;70;6;23;271;186;3;
11D040312: Pereiros;- -;5;- -;- -;50;249;99;- -;
11D040313: Pinhal do Norte;12;10;100;141;73;346;181;99;
11D040314: Pombal;1;35;28;1;77;617;160;119;
11D040316: Seixo de Ansiães;- -;4;124;- -;37;328;5;4;
11D040320: União das freguesias de Amedo e Zedes;61;184;814;201;70;575;310;112;
11D040321: União das freguesias de Belver e Mogo de Malta;32;31;257;8;57;254;157;- -;
11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;8;60;293;67;50;435;28;- -;
11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;22;26;385;91;112;627;254;154;
11D040318: Vilarinho da Castanheira;8;161;856;112;88;337;123;79;
11D0404: Freixo de Espada à Cinta;87;202;5619;782;515;1855;636;718;
11D040404: Ligares;- -;21;1019;226;80;304;230;317;
11D040406: Poiares;3;5;674;100;36;446;92;84;
11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;3;54;1774;91;178;467;108;277;
11D040408: União das freguesias de Lagoaça e Fornos;81;122;2152;365;221;638;206;40;
11D1805: Lamego;458;1368;3089;614;240;6510;2475;191;
11D180502: Avões;1;2;15;- -;1;36;82;- -;
11D180504: Britiande;3;28;149;1;5;589;79;20;
11D180505: Cambres;- -;11;- -;- -;- -;411;61;- -;
11D180507: Ferreirim;- -;44;70;4;12;576;125;- -;
11D180508: Ferreiros de Avões;1;12;5;- -;8;86;97;- -;
11D180509: Figueira;- -;6;32;- -;21;199;150;21;
11D180510: Lalim;71;43;145;19;24;485;233;37;
11D180525: Lamego (Almacave e Sé);36;911;175;- -;15;903;263;22;
11D180511: Lazarim;6;20;481;286;37;135;13;- -;
11D180516: Penajóia;- -;12;24;- -;5;658;236;47;
11D180517: Penude;47;72;603;22;38;404;191;28;
11D180519: Samodães;- -;5;- -;- -;- -;141;41;- -;
11D180520: Sande;- -;4;1;- -;- -;65;48;1;
11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;219;33;523;236;26;412;308;- -;
11D180527: União das freguesias de Cepões, Meijinhos e Melcões;31;72;684;5;12;499;183;15;
11D180528: União das freguesias de Parada do Bispo e Valdigem;- -;4;- -;- -;1;227;12;- -;
11D180523: Várzea de Abrunhais;- -;20;13;- -;2;393;75;- -;
11D180524: Vila Nova de Souto d'El-Rei;43;69;169;41;33;291;278;- -;
11D1704: Mesão Frio;- -;61;116;48;4;1931;565;128;
11D170401: Barqueiros;- -;16;- -;- -;- -;342;13;- -;
11D170402: Cidadelhe;- -;12;- -;39;- -;175;15;- -;
11D170408: Mesão Frio (Santo André);- -;11;8;- -;2;522;202;36;
11D170403: Oliveira;- -;- -;- -;- -;- -;168;81;- -;
11D170407: Vila Marim;- -;22;108;9;2;724;254;92;
11D1807: Moimenta da Beira;3795;1842;3755;1639;364;10859;16122;376;
11D180702: Alvite;2361;942;238;405;67;278;348;- -;
11D180703: Arcozelos;63;127;461;40;17;220;132;- -;
11D180705: Baldos;6;28;120;12;9;208;67;- -;
11D180706: Cabaços;16;48;297;207;38;293;316;- -;
11D180707: Caria;171;43;403;35;15;514;292;19;
11D180708: Castelo;2;12;133;3;6;255;146;9;
11D180709: Leomil;203;104;530;373;47;827;363;- -;
11D180710: Moimenta da Beira;35;32;312;5;16;377;96;- -;
11D180713: Passô;74;31;25;8;13;133;12938;- -;
11D180716: Vila da Rua;136;67;543;14;16;701;335;71;
11D180717: Sarzedo;46;27;25;251;17;239;158;169;
11D180719: Sever;85;82;36;14;10;127;135;26;
11D180721: União das freguesias de Paradinha e Nagosa;21;8;57;24;17;315;61;46;
11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;244;81;248;141;40;618;328;36;
11D180723: União das freguesias de Peva e Segões;324;162;69;71;10;5391;298;- -;
11D180720: Vilar;8;48;258;36;26;363;109;- -;
11D1707: Murça;562;805;2183;3497;688;7502;2334;771;
11D170701: Candedo;2;89;111;266;145;1065;228;90;
11D170703: Fiolhoso;74;14;365;210;70;264;259;- -;
11D170704: Jou;98;239;531;1688;192;1880;533;337;
11D170705: Murça;6;36;221;133;34;832;221;57;
11D170710: União das freguesias de Carva e Vilares;206;90;394;169;37;356;202;17;
11D170711: União das freguesias de Noura e Palheiros;74;183;97;548;115;2287;715;215;
11D170708: Valongo de Milhais;102;154;464;483;95;818;176;55;
11D1812: Penedono;394;502;3509;1038;307;2393;1099;223;
11D181202: Beselga;40;86;829;108;44;234;164;- -;
11D181203: Castainço;26;71;340;113;26;220;133;- -;
11D181207: Penela da Beira;1;31;283;42;35;315;143;19;
11D181208: Póvoa de Penela;8;79;372;170;39;646;173;48;
11D181209: Souto;126;30;171;274;54;351;306;- -;
11D181210: União das freguesias de Antas e Ourozinho;85;63;914;167;53;261;87;- -;
11D181211: União das freguesias de Penedono e Granja;108;142;600;164;56;366;93;156;
11D1708: Peso da Régua;28;236;783;415;73;5144;1874;132;
11D170802: Fontelas;- -;4;1;- -;2;269;34;8;
11D170805: Loureiro;- -;3;- -;- -;3;570;168;2;
11D170809: Sedielos;9;47;230;284;6;1072;478;35;
11D170813: União das freguesias de Galafura e Covelinhas;2;59;71;50;19;626;143;19;
11D170814: União das freguesias de Moura Morta e Vinhós;7;42;261;8;6;795;545;20;
11D170815: União das freguesias de Peso da Régua e Godim;7;- -;24;- -;9;671;188;19;
11D170816: União das freguesias de Poiares e Canelas;1;45;180;73;23;647;172;13;
11D170810: Vilarinho dos Freires;2;36;16;- -;5;494;146;16;
11D1710: Sabrosa;398;294;1352;938;302;4495;7427;532;
11D171001: Celeirós;- -;4;- -;- -;7;105;20;- -;
11D171002: Covas do Douro;- -;1;- -;- -;13;303;32;41;
11D171004: Gouvinhas;2;6;- -;179;18;226;3;108;
11D171007: Paços;11;46;62;510;76;599;340;33;
11D171005: Parada de Pinhão;44;48;24;8;22;206;99;18;
11D171009: Sabrosa;2;- -;- -;- -;16;215;53;49;
11D171011: São Lourenço de Ribapinhão;53;66;234;80;11;536;310;16;
11D171013: Souto Maior;9;42;311;- -;40;506;207;12;
11D171014: Torre do Pinhão;233;16;523;61;5;230;5731;15;
11D171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;6;13;2;3;16;340;74;51;
11D171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;38;46;196;97;63;1020;514;189;
11D171015: Vilarinho de São Romão;- -;6;- -;- -;15;209;44;- -;
11D1711: Santa Marta de Penaguião;21;973;745;252;37;3094;1387;269;
11D171101: Alvações do Corgo;- -;3;- -;- -;- -;182;4;6;
11D171102: Cumieira;7;30;203;- -;10;667;269;6;
11D171103: Fontes;2;11;464;155;10;255;148;12;
11D171106: Medrões;- -;20;32;1;5;317;149;11;
11D171110: Sever;- -;816;- -;- -;- -;94;66;2;
11D171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;- -;20;- -;- -;5;775;120;49;
11D171112: União das freguesias de Louredo e Fornelos;12;73;46;96;7;804;631;183;
11D1815: São João da Pesqueira;102;426;3152;1949;505;6447;1563;1356;
11D181501: Castanheiro do Sul;3;3;30;5;9;104;30;- -;
11D181502: Ervedosa do Douro;- -;12;207;33;52;612;23;105;
11D181504: Nagozelo do Douro;- -;16;49;30;38;246;10;61;
11D181505: Paredes da Beira;15;82;433;571;54;664;120;- -;
11D181507: Riodades;55;73;1051;127;45;662;644;30;
11D181509: Soutelo do Douro;2;8;- -;1;20;334;137;4;
11D181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;6;72;493;316;97;1460;216;142;
11D181516: União das freguesias de Trevões e Espinhosa;21;106;519;428;61;499;197;98;
11D181517: União das freguesias de Vilarouco e Pereiros;- -;38;187;246;53;676;127;100;
11D181511: Vale de Figueira;- -;5;3;187;56;1051;59;816;
11D181512: Valongo dos Azeites;- -;11;180;5;20;139;- -;- -;
11D1818: Sernancelhe;820;984;2732;638;489;20438;3329;555;
11D181801: Arnas;39;49;525;106;33;578;373;165;
11D181802: Carregal;102;41;78;1;36;384;337;- -;
11D181803: Chosendo;47;156;206;74;33;306;350;20;
11D181804: Cunha;93;83;240;74;28;6452;286;69;
11D181806: Faia;16;18;66;16;5;195;- -;1;
11D181810: Granjal;40;46;- -;22;41;325;85;- -;
11D181811: Lamosa;56;51;- -;1;1;102;140;- -;
11D181814: Quintela;173;29;179;54;12;4086;63;78;
11D181818: União das freguesias de Ferreirim e Macieira;71;79;316;48;107;759;427;5;
